id,hostname,model,exist in CA Spectrum
87641516090507155,unknown,,False
88469291642980012,SCLDTS11,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
89417994182060144,DXBDF64,"HP J9727A 2920-24G-PoE+ Switch, revision WB.16.10.",False
89550208058983468,unknown,,False
89725973568702604,ILEGTS02.Marriott.com,WS-C2960X-24PS-L,False
90909577934199722,INCSISW03-1F-IDF-SW,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.04.",False
92096161656643432,HPE,195012XGT4SFPPlus,False
92303687642688577,AZOTSS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
92456517034101948,unknown,,False
93510251662093835,unknown,,False
93561438543561380,unknown,,False
93572117981557383,DALGTSW-4-4_W2.Marriott.com,WS-C3850-48F-S,False
93675674289535797,TAOMDS42,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
93963814141329725,unknown,,False
94007186243441229,YULSISW2-29-IDF7,,False
94040830633465364,UPGFPS49.Marriott.com,WsC2960P24TcS,False
94063605604759104,unknown,,False
94432795278229528,WCOTSP01.marriott.com,C891FK9,True
95094870744771701,ALGMCP01.marriott.com,C11118PLteEA,True
96077636443347984,unknown,,False
96095108231921402,unknown,,False
96654875752366303,HAKMCSW01-08-C8,J9773A,False
97144047446713943,CLOMCP01.marriott.com,891,True
97164476661853944,unknown,,False
97184595161148387,BNISES01,Aruba JL071A,False
97247206325923150,CHIJW-SW101-10-IDF1072,J9147A,False
97798601605450199,HSNSIS48.Marriott.com,catalyst296024,False
98263545677848624,TYOWYSW06-16-EPSB,"HP J9775A 2530-48G Switch, revision YA.16.11.0001,",False
98391936676957720,unknown,,False
98407048743486411,SHARNSW01-4F,J9773A,False
98500181987613217,BKIMDSW01-07-MDFB,"HP J9850A Switch 5406Rzl2, revision KB.16.10.0005,",False
98905929378936886,unknown,,False
99531584623256441,unknown,,False
99585033793502679,ISTMD51,"ProCurve J9280A Switch 2510G-48, revision Y.11.52,",False
100264382445195326,marrio-xvhpbmi1-4456187,891,True
100444794010417860,unknown,,False
101009538276009607,MSPDDP01.marriott.com,C1161X8PLteP,True
101276472096364465,marrio-swsdtmi2sgSEC-27659949e001,881,True
101948280593201419,unknown,,False
102130286354424692,MAAVWP01,1921k9,True
102534462392313734,SHALUSW01-05-IDF,catalyst296024PCS,False
102610527453175456,SHASFSW02-08-IDF,ICX715024POE,False
102682275718945117,DTWDTS22,"HP J9783A 2530-8 Switch, revision YB.16.10.0016, R",False
103793399891655800,KBVRZS09,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
104038977451662016,marrio-fradtmi1-3350219.marriott.com,891,True
104383833871166396,unknown,,False
104589284039524917,unknown,,False
104995951649179550,unknown,,False
105264359756763396,NGBXIP01.marriott.com,C11118PLteLA,True
105403854431146050,LSEFWP01.marriott.com,C11118PLteEA,True
105662666225017828,CHIDTS14,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
105674093883967505,unknown,,False
105962777218937188,SDFAKSW01-LL-MDF,,False
106511823647927657,SNAAGS01,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
106562298853757975,LBBFWS02,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
106746597393089814,HGHJXSW04-02-MDF,J9773A,False
106884735530761444,BOMXRS55.Marriott.com,C2960S,False
107042611499536143,SBSRIP01.marriott.com,C11118PLteEA,True
107227880889929492,unknown,,False
107414497815917514,CAIJWS62,"HP J9775A 2530-48G Switch, revision YA.16.10.0009,",False
107474808461305009,FLGFFP01.marriott.com,C800,True
108005085235595115,TYORZS01-1,"HP J8697A Switch 5406zl, revision K.16.02.0030, RO",False
108011010677975709,unknown,,False
108376836609139393,SDFOXS03,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
108839436324432737,BMIMCP01.marriott.com,C11118PLteEA,True
108874305230416475,HAKSIS42.Marriott.com,catalyst295048T,False
109335186860504381,DENRIS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
109373342540992814,SYXMDP01,1921k9,True
109696785553579573,BOMBRS64,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
109707582546270659,DXBJWS19,"HP J9148A 2910al-48G-PoE Switch, revision W.15.14.",False
110122329475336703,INCJWSW02-46-IDF,Aruba-JL255A,False
110465209063754194,OMAELP01.marriott.com,1921k9,False
112344205566542537,BJSIMS06,"HP J9623A 2620-24 Switch, revision RA.16.04.0023, ",False
112585636643089586,CANTISW05-13-IDF,cat29xxStack,False
112761296780289728,SHAWHSW01-B1-MDFB,"HP J9850A Switch 5406Rzl2, revision KB.16.07.0003,",False
113024198967229686,unknown,,False
113116324131666108,unknown,,False
113187863121644488,PHXGLS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
113187923837778849,unknown,,False
113231280206623574,HOUWDP01.marriott.com,C899G-LTE-NA-K9,True
113975163137123228,unknown,,False
114110841941928347,STLXCP01.marriott.com,C800,True
114253615831923109,SANCRP01.marriott.com,C1161X8PLteP,True
114792534941758228,WCTNWS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
114848908868227713,CHIDGS011,"HP J9623A 2620-24 Switch, revision RA.16.04.0023, ",False
115022011803951834,PRGPAS61,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
115460345861638222,unknown,,False
115700007466757852,XMNMDSW13-01-IDF-Outside,s5720-12TP-PWR-LI-AC,False
115711401612633645,DALTRSW01,Aruba - JL724A,False
116015890376505271,HUZLMS_48_47,S511052P,False
117334813423024716,TYOWYSW04-20-EPSG,Aruba JL261A,False
117343623021794076,KCKROP01.marriott.com,C899G-LTE-NA-K9,True
117436313331608639,unknown,,False
118375298276380868,DENGRSWCORE2,N77-C7702,False
118467792883961494,HGHQS-SF2-5,"ProCurve J9088A Switch 2610-48, revision R.11.122,",False
118727934968827864,CHIRSSW18-02-MDF,"HP J9780A 2530-8-PoEP Switch, revision YB.16.10.00",False
118821885560746403,MAFORP01.marriott.com,891,True
118961626376682660,DPSUWS050,"HP J9584A 3800-24SFP-2SFP+ Switch, revision KA.16.",False
119484836604087368,MBSFRP01.marriott.com,C899G-LTE-NA-K9,True
119845607537107799,DALTEP01.marriott.com,C800,True
120097191276352682,BJSLF42,S3100V252TP,False
120194559849671416,KWEBRSW01-03,J9085A,False
121587391210629238,TUSMPS01,"HP J9728A 2920-48G Switch, revision WB.16.10.0016,",False
121714762202687792,ALARZSW02-21-2107,J9147A,False
121872430423233147,ZHASISFB,s3600V2-52TP-SI,False
122229562677697846,INCSISW03-1F-IDF-NE,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.04.",False
122800349560088453,BKKMSS05,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
123850046658323197,DFWRAS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
123923487257408666,XIYCYSW02-23-IDF.marriott.com,C2960X,False
124193181328952950,unknown,,False
124513031638543961,unknown,,False
124899528773749781,XMNETSW02-08-IDFG,,False
125016718760487984,unknown,,False
125051128643364340,MCIELP01.marriott.com,C11118PLteEA,True
126053098239840655,BKKRRS12,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
126330003592713083,unknown,,False
126352559838675811,XIYWHSW29-05-R532,J9774A,False
126664473031564189,TUNSIP01.marriott.com,1921k9,False
127407896784230331,SBNCBP01.marriott.com,C11118PLteEA,True
127693586548784704,DTWCWSW04-2Flr,ICX725048HPOE,False
127796319022812002,PDXSHP01.marriott.com,891,True
128740271346939689,ZQZELS40,S7506EX,False
128797718870587042,unknown,,False
128803246438744511,DPSWIS41,"HP J9626A 2620-48 Switch, revision RA.16.04.0023, ",False
130387022562037735,SHACPSW01-20,J9625A,False
130436518176816902,SFOUWP01,C800,True
130477114444164168,HDQNC-A6100-SW01,Aruba JL678A,False
130986226816018903,YYJVOSW06-4-IDF.singledigits.net,catWsC2960s24tsS,False
131008914383659896,DENEDP01.marriott.com,C11118PLteEA,True
131146774377242234,LAXVAP01.marriott.com,891,True
131492628248185573,DALBWP01.marriott.com,C11118PLteEA,True
131542259680275021,RAKMDP01,1921k9,True
131974838960958462,unknown,,False
132606669236522188,CZXMCSW02-46,J9773A,False
132932451398960781,SGNSIS47.Marriott.com,catalyst296024TT,False
134275808306310610,SNAMCSW02-9-IDF4,J9773A,False
135600644567148999,DELAPS02,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
136082643808542913,unknown,,False
136195256535224420,ZHAFPSW07-01-IDFB,J9773A,False
136340696137369929,PVRMXP01.marriott.com,C11118PLteEA,False
136807507292220557,DTTDBP01.marriott.com,C899G-LTE-NA-K9,True
137063933027829463,unknown,,False
137252624004899888,unknown,,False
137792306711600709,PHXOXS02,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
138197646398079702,marrio-madftmi2sg-20996999,C891FK9,True
138921022705164952,XIYBRSW03-03-IDF,J9776A,False
139398726698461053,DALDZS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
139867932405369890,BJSBCP01.marriott.com,891,True
139869334001098392,BJSFSS13,"ProCurve J4900B Switch 2626, revision H.10.119, RO",False
140102251755848784,unknown,,False
140207475064353655,INCJWSW03-02-IDFC,,False
140472498797595298,SINRZS169,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.10.",False
140628809959313166,unknown,,False
140973291188224735,SZXSFS45.Marriott.com,catalyst296048,False
