id,hostname,model,exist in Netmri
0x11dc092,ATLPOP01.marriott.com,GnSNMPDev,False
0x12140b1,CLTFPP01,Rtr_Cisco,False
0x103c091,HDQNCSCNNLB101.marriott.com,F5BigIPDev,False
0x133c0a0,HDQIMVPRODSTRM01,GnSNMPDev,False
0x12200b6,ROARIP01.marriott.com,Rtr_Cisco,False
0x12c80b8,DLHFDP01.marriott.com,Rtr_Cisco,False
0x11f408b,SFOFPP01,Rtr_Cisco,False
0x12200b7,CONSOP01.marriott.com,Rtr_Cisco,False
0x11fc08a,YOWFPP01,Rtr_Cisco,False
0x12e80b9,TYSFXP01.marriott.com,Rtr_Cisco,False
0x103c094,HDQIMSCNNLB101.marriott.com,F5BigIPDev,False
0x12200ba,MBSFIP01.marriott.com,Rtr_Cisco,False
0x11c8084,WASRRP01.marriott.com,GnSNMPDev,False
0x12200bb,OAKSIP01,Rtr_Cisco,False
0x13340aa,MADFEP01.marriott.com,GnSNMPDev,False
0x12200b8,ISPRIP01.marriott.com,Rtr_Cisco,False
0x12200b9,EWRDBP01.marriott.com,Rtr_Cisco,False
0x11c8080,DFWSHP01.marriott.com,Rtr_Cisco,False
0x12200be,WASDKP01.marriott.com,GnSNMPDev,False
0x11c8081,DFWTAP01.marriott.com,Rtr_Cisco,False
0x12200bf,BWIBAP01.marriott.com,GnSNMPDev,False
0x11c8082,DALGIP01,Rtr_Cisco,False
0x12200bc,RICCHP01.marriott.com,Rtr_Cisco,False
0x12200bd,SFOFWP01.marriott.com,Rtr_Cisco,False
0x1310090,RNOALP01.marriott.com,Rtr_Cisco,False
0x103c0a0,HDQIMSCNSLB102.marriott.com,F5BigIPDev,False
0x103c0a7,HDQNCS101,HPProCurve,False
0x1328097,PRCCWP01.marriott.com,GnSNMPDev,False
0x133c095,HDQIMVSTRM01,GnSNMPDev,False
0x133c09a,HDQIMVSTRM02,GnSNMPDev,False
0x103c0a8,SCNSCS102,GnSNMPDev,False
0x103c0ad,INSGTR01.marriott.com,Rtr_Cisco,False
0x1218093,PITNOP01.marriott.com,Rtr_Cisco,False
0x12b8099,LONSXP01.marriott.com,Rtr_Cisco,False
0x1218094,PITCTP01.marriott.com,GnSNMPDev,False
0x1334084,MADALP01.marriott.com,GnSNMPDev,False
0x1210096,MBSTPP01.marriott.com,Rtr_Cisco,False
0x11d80a7,PDXCKP01.marriott.com,GnSNMPDev,False
0x12dc097,YSNFIP01.marriott.com,Rtr_Cisco,False
0x11f00a2,SHDRIP01.marriott.com,Rtr_Cisco,False
0x11f00a1,DLSFIP01.marriott.com,GnSNMPDev,False
0x101c0be,CJBFIP01.marriott.com,GnSNMPDev,False
0x11dc0de,RIOSIP01,Rtr_Cisco,False
0x130c0f4,HHHHSP01.marriott.com,Rtr_Cisco,False
0x12ec0eb,HKTCTP01.marriott.com,Rtr_Cisco,False
0x120c0e5,HYDSIP01,Rtr_Cisco,False
0x11bc0d1,GVAWHP01,Rtr_Cisco,False
0x133c0e7,GDLAGP01.marriott.com,GnSNMPDev,False
0x12c40f8,FATNOP01.marriott.com,Rtr_Cisco,False
0x13200e7,LYHTXP01.marriott.com,GnSNMPDev,False
0x12a40fc,MKEFBP01.marriott.com,Rtr_Cisco,False
0x103c0da,SJC13CF03,CheckpointFirewall,False
0x12000fb,POUCHP01.marriott.com,GnSNMPDev,False
0x103c0dd,SJC13CF02,CheckpointFirewall,False
0x12200c2,BOSLTP01.marriott.com,GnSNMPDev,False
0x12200c3,SACEXP01.marriott.com,GnSNMPDev,False
0x13100d3,TYSALP01.marriott.com,Rtr_Cisco,False
0x12200c0,WASTNP01.marriott.com,GnSNMPDev,False
0x13340d0,MADGUP01.marriott.com,GnSNMPDev,False
0x12200c1,BOSACP01.marriott.com,GnSNMPDev,False
0x11e40fa,LJNCYP01.marriott.com,GnSNMPDev,False
0x12e40ca,DRSOXP01.marriott.com,Rtr_Cisco,False
0x12200c4,NYCQLP01.marriott.com,GnSNMPDev,False
0x13080d6,RBAMCP01.marriott.com,Rtr_Cisco,False
0x12200c5,SLCCLP01.marriott.com,GnSNMPDev,False
0x12140cf,DAYCLP01.marriott.com,GnSNMPDev,False
0x131c0df,DOHMDP01.marriott.com,Rtr_Cisco,False
0x12dc0dc,CZXCJP01.marriott.com,GnSNMPDev,False
0x12140d0,DAYLMP01.marriott.com,Rtr_Cisco,False
0x12b80df,CMHSDP01.marriott.com,Rtr_Cisco,False
0x13140c5,MPOFIP01.marriott.com,Rtr_Cisco,False
0x102c0f7,YZRRCPNT01.marriott.com,Rtr_Cisco,False
0x102c0f5,NTCN01A1.marriott.com,Rtr_Cisco,False
0x12dc0da,ZHASMP01.marriott.com,GnSNMPDev,False
0x102c0fb,LONRCR02.marriott.com,Rtr_Cisco,False
0x102c0f8,YZRRCPNT02.marriott.com,Rtr_Cisco,False
0x102c0fe,ORKRSPNT01.marriott.com,Rtr_Cisco,False
0x102c0ff,OMARCVZB02.marriott.com,Rtr_Cisco,False
0x11d80e3,RAPDWP01.marriott.com,Rtr_Cisco,False
0x11fc0e0,GLRFIP01.marriott.com,GnSNMPDev,False
0x102c0fd,OMARCPNT01.marriott.com,Rtr_Cisco,False
0x1218325,HSNSIP01,Rtr_Cisco,False
0x1320338,PYXNPP01.marriott.com,Rtr_Cisco,False
0x131033c,HOUACP01.marriott.com,Rtr_Cisco,False
0x120432e,YYZELP01,Rtr_Cisco,False
0x1338320,BUSCYP01.marriott.com,GnSNMPDev,False
0x11f430b,DTWMAP01,Rtr_Cisco,True
